"Array.name"	"Sample.name"	"Batch"	"Covariate.1"
"GSM574058"	"GSM574058"	"GSE23402"	"1"
"GSM574059"	"GSM574059"	"GSE23402"	"2"
"GSM574060"	"GSM574060"	"GSE23402"	"3"
"GSM574061"	"GSM574061"	"GSE23402"	"4"
"GSM574062"	"GSM574062"	"GSE23402"	"5"
"GSM574063"	"GSM574063"	"GSE23402"	"6"
"GSM574064"	"GSM574064"	"GSE23402"	"7"
"GSM574065"	"GSM574065"	"GSE23402"	"8"
"GSM574066"	"GSM574066"	"GSE23402"	"9"
"GSM574067"	"GSM574067"	"GSE23402"	"10"
"GSM574068"	"GSM574068"	"GSE23402"	"11"
"GSM574069"	"GSM574069"	"GSE23402"	"12"
"GSM574070"	"GSM574070"	"GSE23402"	"13"
"GSM574071"	"GSM574071"	"GSE23402"	"14"
"GSM574072"	"GSM574072"	"GSE23402"	"15"
"GSM574073"	"GSM574073"	"GSE23402"	"16"
"GSM574074"	"GSM574074"	"GSE23402"	"17"
"GSM574075"	"GSM574075"	"GSE23402"	"18"
"GSM574076"	"GSM574076"	"GSE23402"	"19"
"GSM574077"	"GSM574077"	"GSE23402"	"20"
"GSM574078"	"GSM574078"	"GSE23402"	"21"
"GSM574079"	"GSM574079"	"GSE23402"	"22"
"GSM574080"	"GSM574080"	"GSE23402"	"23"
"GSM574081"	"GSM574081"	"GSE23402"	"24"
"GSM648497"	"GSM648497"	"GSE26428"	"25"
"GSM648498"	"GSM648498"	"GSE26428"	"26"
"GSM648499"	"GSM648499"	"GSE26428"	"27"
