"Array.name"	"Sample.name"	"Batch"	"Covariate.1"
"GSM574058"	"GSM574058"	"GSE23402"	"fibroblast"
"GSM574059"	"GSM574059"	"GSE23402"	"fibroblast"
"GSM574060"	"GSM574060"	"GSE23402"	"fibroblast"
"GSM574061"	"GSM574061"	"GSE23402"	"ESC_or_iPSC"
"GSM574062"	"GSM574062"	"GSE23402"	"ESC_or_iPSC"
"GSM574063"	"GSM574063"	"GSE23402"	"ESC_or_iPSC"
"GSM574064"	"GSM574064"	"GSE23402"	"ESC_or_iPSC"
"GSM574065"	"GSM574065"	"GSE23402"	"ESC_or_iPSC"
"GSM574066"	"GSM574066"	"GSE23402"	"ESC_or_iPSC"
"GSM574067"	"GSM574067"	"GSE23402"	"ESC_or_iPSC"
"GSM574068"	"GSM574068"	"GSE23402"	"ESC_or_iPSC"
"GSM574069"	"GSM574069"	"GSE23402"	"ESC_or_iPSC"
"GSM574070"	"GSM574070"	"GSE23402"	"ESC_or_iPSC"
"GSM574071"	"GSM574071"	"GSE23402"	"ESC_or_iPSC"
"GSM574072"	"GSM574072"	"GSE23402"	"ESC_or_iPSC"
"GSM574073"	"GSM574073"	"GSE23402"	"ESC_or_iPSC"
"GSM574074"	"GSM574074"	"GSE23402"	"ESC_or_iPSC"
"GSM574075"	"GSM574075"	"GSE23402"	"ESC_or_iPSC"
"GSM574076"	"GSM574076"	"GSE23402"	"ESC_or_iPSC"
"GSM574077"	"GSM574077"	"GSE23402"	"ESC_or_iPSC"
"GSM574078"	"GSM574078"	"GSE23402"	"ESC_or_iPSC"
"GSM574079"	"GSM574079"	"GSE23402"	"ESC_or_iPSC"
"GSM574080"	"GSM574080"	"GSE23402"	"ESC_or_iPSC"
"GSM574081"	"GSM574081"	"GSE23402"	"ESC_or_iPSC"
"GSM648497"	"GSM648497"	"GSE26428"	"ESC_or_iPSC"
"GSM648498"	"GSM648498"	"GSE26428"	"ESC_or_iPSC"
"GSM648499"	"GSM648499"	"GSE26428"	"fibroblast"
